,가열대를 대상으로 함.,,,,,,,,,,,변경시점의 정의는 ,,,,,,,,,,
,"진입소재 D,  추출소재 B",,,,"""X"" : 이행재 혹은 공로임.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,변경시점
No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,Y
1,D,X,X,D,D,D,D,D,D,X,X,B,B,B,B,B,B,B,B,B,,7
2,D,D,D,D,D,D,D,D,D,X,X,X,B,B,B,B,B,B,X,B,,6
3,D,D,D,D,X,D,X,D,D,X,X,B,X,B,B,B,B,X,B,B,,6
4,D,D,D,X,X,D,D,D,D,X,X,B,X,B,B,B,B,B,B,B,,7
5,D,D,D,D,D,D,D,D,D,X,X,X,B,B,B,B,B,B,B,B,,6
6,D,X,D,D,D,X,D,D,D,X,X,X,B,B,B,B,B,B,B,B,,6
7,D,D,D,D,D,D,D,X,D,X,X,X,X,B,X,B,B,B,B,B,,5
8,D,X,X,D,D,D,D,D,D,X,X,X,B,B,B,X,X,B,B,B,,6
9,D,D,D,X,D,D,D,D,D,X,X,X,B,B,B,B,B,B,B,B,,7
10,D,D,D,D,D,D,D,D,D,X,X,B,B,B,B,B,B,B,B,B,,6
11,D,D,D,D,D,X,X,D,D,X,X,X,B,X,B,B,X,B,B,B,,5
12,X,D,X,D,D,X,D,D,D,X,X,B,X,B,B,B,B,B,B,B,,5
13,D,X,D,D,X,D,D,D,D,X,X,B,B,B,X,X,B,B,B,B,,7
14,D,D,X,X,D,D,D,D,D,X,X,B,B,B,B,B,X,X,B,B,,7
15,D,D,D,X,X,D,D,D,D,X,X,B,B,B,X,B,B,B,B,B,,7
16,X,D,D,D,D,D,X,X,D,X,X,X,B,B,B,B,B,B,B,B,,6
17,X,D,D,D,D,D,X,D,D,X,X,B,X,X,X,B,B,B,B,B,,6
18,D,D,X,X,D,D,D,D,D,X,X,B,B,B,X,B,X,B,B,B,,4
19,D,X,D,D,D,X,X,D,D,X,X,B,B,B,X,B,X,B,B,B,,8
20,D,D,D,X,D,X,D,D,D,X,X,B,B,X,B,B,B,B,X,B,,7
21,D,X,D,D,X,D,D,D,D,X,X,B,X,B,B,X,B,B,X,B,,7
22,D,X,X,D,D,X,X,D,D,X,X,B,B,X,X,B,B,B,B,B,,7
23,D,X,D,D,X,D,X,D,D,X,X,B,X,B,B,B,B,B,X,B,,6
24,D,X,D,X,X,D,D,D,D,X,X,B,B,B,B,X,X,X,B,B,,8
25,D,D,D,D,D,X,X,X,D,X,X,B,B,X,B,X,B,B,B,B,,8
26,D,X,D,D,D,D,D,D,D,X,X,X,B,B,B,B,B,B,B,B,,5
27,D,D,D,D,D,D,D,D,D,X,X,B,B,B,B,B,B,B,X,B,,8
28,D,D,D,D,D,D,X,X,D,X,X,B,B,B,B,B,B,B,X,B,,7
